Code,LatitudeOrig,LongitudeOrig,Shift,LatitudeShifted,LongitudeShifted,Name,Address,Q3,Q6_1,Q6_2,Q6_3,Q6_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q12_1,Q12_2,Q12_3,Q12_4,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,Q16_4,Q17_1,Q17_2,Q17_3,Q17_4,Q19_1,Q19_2,Q19_3,Q19_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q35,Q36,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q39
27Q105,40.595917,-73.780944,0,40.595917,-73.780944,P.S. 105 The Bay School,420 BEACH 51 ST,2,0,2,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100,0,100,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0
27Q106,40.594681,-73.767108,0,40.594681,-73.767108,Lighthouse Elementary School,180 BEACH 35 ST,2,0,0,0,0,0,12,0,0,13,0,1,0,0,0,3,0,0,0,7,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,5,2,0,5,0,1
27Q108,40.679313,-73.830925,0,40.679313,-73.830925,P.S. 108 Captain Vincent G. Fowler,108-10 109 AVE,2,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,27,0,0,0,36,0,0,0,11,0,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,2,9,0,10,0,0
27Q114,40.577924,-73.854101,0,40.577924,-73.854101,P.S./M.S. 114 Belle Harbor,134-01 CRONSTON AVE,2,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,1,0,1,0,0,100,0,100,0,0,0,0,0,0,1,0,3,3,1,3,0,0,0,1,0
27Q124,40.665478,-73.811093,0,40.665478,-73.811093,P.S. 124 Osmond A Church,129-15 150 AVE,2,0,0,0,0,0,10,0,15,6,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,6,5,0,0,0,0
27Q137,40.67807,-73.839652,0,40.67807,-73.839652,M.S. 137 America's School of Heroes,109-15 98 ST,2,0,0,0,0,1,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,120,0,1,0,1,0,0,620,0,620,0,1,0,1,0,1,0,0,2,1,6,8,7,1,17,0,1
27Q146,40.66023,-73.834726,0,40.66023,-73.834726,P.S. 146 Howard Beach,98-01 159 AVE,2,1,0,0,0,1,23,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,0,0,0,1,0,0,0,0,3,3,0,3,3,0,3,0,0
27Q155,40.679213,-73.810192,0,40.679213,-73.810192,P.S. 155,130-02 115 AVE,2,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,1,0,1,1
27Q183,40.588918,-73.805874,0,40.588918,-73.805874,P.S. 183 Dr. Richard R. Green,2-45 BEACH 79 ST,2,0,0,0,0,1,3,2,3,1,3,3,3,3,6,6,24,6,6,6,24,6,40,8,32,8,8,8,32,8,6,6,6,6,2,2,2,10,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,1,3,3,3,8,3,8,2,0,0
27Q197,40.599871,-73.744,0,40.599871,-73.744,P.S. 197 The Ocean School,825 HICKSVILLE RD,4,1,1,0,0,1,1,0,0,1,1,1,0,0,4,4,0,0,7,7,0,7,0,7,0,6,5,5,0,5,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,3,0,0,2,0,0,0,1
27Q202,40.671844,-73.845194,0,40.671844,-73.845194,J.H.S. 202 Robert H. Goddard,138-30 LAFAYETTE ST,2,0,2,1,2,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90,0,0,0,1,0,1,0,0,1,0,2,3,2,8,0,0,8,0,0
27Q207,40.657662,-73.84402,0,40.657662,-73.84402,P.S. 207 Rockwood Park,159-15 88 ST,2,0,0,0,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,1,0,1,0,0,90,0,90,0,0,0,0,0,1,1,0,3,2,10,2,1,2,1,0,0
27Q210,40.684802,-73.847569,0,40.684802,-73.847569,J.H.S. 210 Elizabeth Blackwell,93-11 101 AVE,2,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,2,1,0
